,iyear,extended,vicinity,latitude,longitude,crit1,crit2,crit3,suicide,individual,nperps,nperpcap,claimed,nkill,nkillter,nwound,nwoundte,propextent,dayn,attacktype1_1,attacktype1_2,attacktype1_3,attacktype1_4,attacktype1_5,attacktype1_6,attacktype1_7,attacktype1_8,attacktype1_9,targtype1_1,targtype1_2,targtype1_3,targtype1_4,targtype1_5,targtype1_6,targtype1_7,targtype1_8,targtype1_9,targtype1_10,targtype1_11,targtype1_12,targtype1_13,targtype1_14,targtype1_15,targtype1_16,targtype1_17,targtype1_18,targtype1_19,targtype1_20,targtype1_21,targtype1_22,claimmode_1,claimmode_2,claimmode_3,claimmode_4,claimmode_5,claimmode_6,claimmode_7,claimmode_8,claimmode_9,claimmode_10
98,1970,False,False,40.102408000000004,-88.227159,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,70,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
99,1970,False,False,40.712784,-74.007124,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,71,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,1970,False,False,40.712784,-74.005941,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,71,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,1970,False,False,41.88415,-87.632409,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,71,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
102,1970,False,False,41.88415,-87.632409,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,71,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,1970,False,False,40.78306,-73.971249,True,True,True,False,False,2.0,1.0,True,0.0,0.0,0.0,0.0,2.0,71,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
104,1970,False,False,44.260288,-88.39745500000001,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,72,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
105,1970,False,False,44.268598,-88.42844000000001,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,1970,False,False,18.46617,-66.106654,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,74,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,1970,False,False,45.783975,-108.505794,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,74,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
110,1970,False,False,34.105245000000004,-117.294124,True,True,True,False,False,2.0,1.0,False,0.0,0.0,1.0,0.0,3.0,75,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,1970,False,False,34.04773,-118.20470900000001,True,True,True,False,False,2.0,1.0,True,0.0,0.0,0.0,0.0,3.0,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
112,1970,False,False,39.226834999999994,-84.45330899999999,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
